day,flights,passengers,max capacity
20230326,423,104881,112959
20230327,421,97065,113957
20230328,423,93082,114717
20230329,422,100982,115722
20230330,422,103032,114690
20230331,424,105917,115270
20230401,386,97774,108127
20230402,416,105924,113723
20230403,416,103078,113219
20230404,419,98049,114495
20230405,396,97238,109291
20230406,415,105001,113280
20230407,420,104928,114054
20230408,396,100471,110409
20230409,419,108013,114946
20230410,418,105648,114102
20230411,420,99946,114447
20230412,421,99222,114373
20230413,411,100725,111277
20230414,423,104695,115812
20230415,285,74806,83535
20230416,351,90001,98860
20230417,413,98606,111508
20230418,425,95790,115048
20230419,421,100560,114476
20230420,420,107067,113962
20230421,423,108218,114700
20230422,321,80398,92061
20230423,420,105930,114769
20230424,422,99067,114653
20230425,423,92053,115282
20230426,423,99037,114842
20230427,423,104082,114805
20230428,423,106867,115099
20230429,387,93158,108052
20230430,345,89568,96835
20230501,420,104580,114679
20230502,425,92086,115727
20230503,423,98163,115768
20230504,424,104356,115926
20230505,418,97749,112460
20230506,401,94882,109194
20230507,419,105666,114450
20230508,417,99493,112940
20230509,419,94213,113395
20230510,419,98544,113235
20230511,419,103666,113486
20230512,422,102379,113726
20230513,402,94420,110331
20230514,417,103154,112616
20230515,406,99286,109207
20230516,407,98988,110978
20230517,410,96666,110481
20230518,405,99421,109752
20230519,406,101142,110218
20230520,388,96098,106443
20230521,406,103379,110024
20230522,409,100348,110702
20230523,406,96440,110277
20230524,405,99514,109812
20230525,408,100195,110114
20230526,407,99148,109821
20230527,393,91918,107409
20230528,407,96805,110405
20230529,407,99798,110345
20230530,411,97618,111125
20230531,408,95474,109593
20230601,407,96582,110156
20230602,380,92557,104757
20230603,384,90022,104882
20230604,409,100915,109361
20230605,405,98569,110717
20230606,404,93512,109995
20230607,399,93367,109560
20230608,409,97594,110960
20230610,387,91384,105923
20230611,407,99816,110348
20230612,360,88722,100329
20230613,406,96808,110249
20230614,368,90055,103118
20230615,406,101446,110822
20230616,357,91589,101346
20230617,386,95757,105556
20230618,400,97773,107551
20230619,402,100473,109291
20230620,406,102425,109729
20230621,406,103907,110687
20230622,398,101955,107705
20230623,390,102719,108146
20230624,323,84911,89776
20230625,263,72453,75304
20230626,176,47630,49542
20230627,197,53303,54308
20230630,387,99041,104086
20230701,368,95631,102243
20230702,319,84356,90276
20230703,374,96541,102303
20230704,309,82290,88996
20230705,403,101849,111181
20230706,400,100963,109380
20230707,328,86399,93967
20230708,372,95869,102158
20230709,240,68134,72023
20230710,362,92651,97698
20230711,408,104679,111574
20230712,405,102697,110774
20230713,396,100305,108167
20230714,298,79176,85874
20230715,278,74197,78173
20230716,262,75557,78823
20230717,397,104055,108392
20230718,324,85300,92798
20230719,366,95228,102637
20230720,399,104313,109570
20230721,368,95167,103531
20230722,389,97875,105599
20230723,399,104025,109297
20230724,400,100470,109181
20230725,288,74350,82346
20230726,394,101208,107650
20230727,352,93800,99241
20230728,382,100424,104837
20230729,310,81292,86791
20230730,389,102948,105741
20230731,400,103618,108315
20230801,405,99806,110285
20230802,406,101392,110319
20230803,408,104423,110840
20230804,385,95639,105632
20230805,382,96132,104109
20230806,398,103221,108137
20230807,324,85622,91579
20230808,378,94964,102780
20230809,397,100758,107367
20230810,390,97772,106294
20230811,396,99695,108006
20230812,375,94616,101947
20230813,387,98904,104838
20230814,392,97525,106525
20230815,393,100262,106570
20230816,394,99533,107377
20230817,394,99551,107377
20230818,393,99047,106434
20230819,378,95552,102467
20230820,384,99721,104257
20230821,391,98727,106160
20230822,391,91771,106253
20230823,394,95015,107270
20230824,395,98030,107534
20230825,395,94155,106859
20230826,381,90864,102832
20230827,391,97135,105361
20230828,390,89668,105375
20230829,386,88986,101774
20230830,382,85506,102168
20230831,396,98371,106976
20230901,396,95537,106917
20230902,367,84934,98231
20230903,389,90016,105256
20230904,396,95394,106471
20230905,395,90474,104337
20230906,402,89271,106453
20230907,303,72920,82829
20230908,284,76658,79933
20230909,253,64759,72060
20230910,291,77159,80791
20230911,303,78499,86054
20230912,389,93464,103503
20230913,395,89618,105594
20230914,396,95961,105220
20230915,394,94273,105082
20230916,375,86617,100399
20230917,390,95073,104172
20230918,395,92874,105795
20230919,396,86833,105680
20230920,397,91337,105776
20230921,396,96591,105897
20230922,399,94730,106198
20230923,383,86604,102163
20230924,389,94168,103592
20230925,394,92141,105092
20230926,396,86895,105983
20230927,397,90883,106237
20230928,390,95280,104915
20230929,395,96412,106715
20230930,392,92942,106684
20231001,394,99774,107095
20231002,397,94626,107472
20231003,388,88659,104865
20231004,399,93674,108125
20231005,397,100262,107543
20231006,400,99848,108361
20231007,369,89352,99962
20231008,394,96305,106587
20231009,396,98586,107212
20231010,387,90083,104543
20231011,398,94998,107221
20231012,398,97065,107886
20231013,398,97818,108035
20231014,370,88956,100913
20231015,399,98678,106158
20231016,395,93567,106800
20231017,386,90018,104554
20231018,400,94946,107822
20231019,392,97435,106494
20231020,396,97001,107388
20231021,368,87569,99365
20231022,397,99402,106685
20231023,396,93850,107198
20231024,385,87160,103823
20231025,399,91984,107538
20231026,398,97165,107565
20231027,398,96097,108340
20231028,367,85613,100079
20231029,389,96611,106711
20231030,394,88122,106363
20231031,392,78144,106914
20231101,368,84436,99777
20231102,370,87651,100219
20231103,371,90654,101210
20231104,357,86968,97492
20231105,371,96137,101934
20231106,372,90813,100625
20231107,369,89342,100564
20231108,373,91242,100460
20231109,372,95273,100885
20231110,372,92951,100628
20231111,360,84719,97998
20231112,370,93505,100921
20231113,370,87952,100203
20231114,369,82375,100482
20231115,370,86843,100592
20231116,372,92281,99975
20231117,372,93995,101103
20231118,359,91818,98732
20231119,372,94350,101738
20231120,369,94570,100980
20231121,370,96758,100682
20231122,370,96671,100449
20231123,227,60166,63294
20231124,321,84062,89010
20231125,359,93073,98821
20231126,374,97515,102640
20231127,369,92495,100963
20231128,369,86937,100274
20231129,368,81918,98956
20231130,368,89140,100542
20231201,371,86208,99734
20231202,351,78333,96108
20231203,380,93738,102797
20231204,373,86390,100987
20231205,367,78150,99029
20231206,369,83965,99700
20231207,368,90361,100035
20231208,373,90214,100497
20231209,354,81838,96586
20231210,373,92216,101361
20231211,372,84964,100998
20231212,369,81817,100084
20231213,371,85295,100238
20231214,351,88076,98414
20231215,348,89188,97632
20231216,339,87253,95577
20231217,344,91155,96424
20231218,345,88431,96717
20231219,346,89856,97099
20231220,355,91640,98775
20231221,345,90912,97739
20231222,345,92592,97790
20231223,336,85269,95915
20231224,312,80923,91940
20231225,314,89159,92059
20231226,333,93031,95235
20231227,334,91190,95928
20231228,335,93106,95750
20231229,338,93669,96261
20231230,333,89892,94859
20231231,314,80725,91660
20240101,47,9096,9941
20240102,55,11348,11952
20240103,337,86905,95853
20240104,335,87024,96144
20240105,337,86515,96432
20240106,300,78286,87265
20240107,312,79277,86909
20240108,313,78581,86616
20240109,331,77653,91378
20240110,334,81161,91679
20240111,346,86800,96028
20240112,336,86022,92661
20240113,316,79180,87727
20240114,314,79468,86506
20240115,330,83246,89811
20240116,288,70694,80186
20240117,338,78323,92910
20240118,340,81672,92820
20240119,310,74800,86064
20240120,324,77255,89026
20240121,334,83770,91717
20240122,338,77118,91666
20240123,329,69232,88855
20240124,330,73676,89419
20240125,341,84133,93129
20240126,348,85219,95262
20240127,327,78186,90432
20240128,353,85575,97954
20240129,363,81039,100642
20240130,360,74708,99953
20240131,357,78769,98865
20240201,364,86695,101761
20240202,367,85924,102480
20240203,340,76932,94806
20240204,357,89965,101927
20240205,363,88451,101390
20240206,359,76307,100774
20240207,362,84737,101566
20240208,363,88565,101421
20240209,365,88301,102013
20240210,342,82625,96904
20240211,361,89322,100709
20240212,363,84679,101105
20240213,248,58735,76211
20240214,361,86729,100048
20240215,367,92057,103118
20240216,364,92467,102006
20240217,347,91040,97344
20240218,343,92705,97126
20240219,367,97248,103404
20240220,365,91215,102857
20240221,367,89798,103275
20240222,368,94864,103191
20240223,366,96594,102598
20240224,343,85569,96583
20240225,357,91423,100690
20240226,368,87074,103330
20240227,365,80723,102098
20240228,363,86879,102072
20240229,365,95315,102930
20240301,365,94498,102765
20240302,344,89288,97465
20240303,357,92833,100369
20240304,369,88974,103795
20240305,365,83080,102414
20240306,366,88696,101948
20240307,374,95911,104518
20240308,371,95884,103874
20240309,344,89350,96994
20240310,360,95877,101554
20240311,360,91432,102197
20240312,368,87621,103650
20240313,368,95109,103309
20240314,368,100047,103254
20240315,373,98247,103745
20240316,349,92840,99362
20240317,361,94948,101149
20240318,370,95752,103379
20240319,370,93037,102846
20240320,369,91868,102951
20240321,370,95589,103342
20240322,367,94885,102809
20240323,343,88599,98030
20240324,361,95437,101617
20240325,371,92012,104232
20240326,368,88050,102930
20240327,368,92796,102626
20240328,369,99091,103668
20240329,367,96708,102568
20240330,352,92567,98676
20240331,389,102060,108131
20240401,392,100343,109269
20240402,388,95264,107958
20240403,314,78154,88946
20240404,374,99363,105881
20240405,387,99833,108999
20240406,371,92287,102614
20240407,384,94991,107044
20240408,390,90235,108378
20240409,396,92388,109276
20240410,393,94698,109291
20240411,389,99299,108103
20240412,395,100706,110216
20240413,369,86273,102058
20240414,384,100675,107517
20240415,391,96205,109353
20240416,392,91669,108398
20240417,390,99078,108715
20240418,393,102147,108657
20240419,391,106912,108963
20240420,368,95392,101350
20240421,379,100367,105357
20240422,393,100446,109321
20240423,391,92624,108909
20240424,393,97021,109562
20240425,395,102203,109428
20240426,393,100727,109663
20240427,372,91223,102844
20240428,382,95708,106201
20240429,393,101052,109166
20240430,389,90060,107048
20240501,389,97363,108683
20240502,388,98022,107256
20240503,395,97997,107297
20240504,371,91556,100919
20240505,388,98765,106601
20240506,388,94414,106630
20240507,388,90280,106509
20240508,390,96993,106845
20240509,391,99938,106919
20240510,393,98458,108300
20240511,371,89467,101081
20240512,392,96798,106502
20240513,390,96984,107334
20240514,387,91502,105877
20240515,390,96623,106079
20240516,390,99908,106060
20240517,391,101135,107084
20240518,371,93309,100865
20240519,388,101002,105519
20240520,393,98064,106892
20240521,392,95616,106958
20240522,390,98982,106010
20240523,384,97647,102171
20240524,396,102645,108097
20240525,365,90025,97608
20240526,358,86879,96767
20240527,336,87570,94338
20240528,391,97164,104822
20240529,390,93503,104184
20240530,394,96099,105983
20240531,393,97585,105582
20240601,367,92951,98232
20240602,386,97525,104090
20240603,393,95969,106629
20240604,393,92683,106105
20240607,399,98595,108040
20240608,369,93917,98969
20240609,391,99781,105956
20240610,393,97702,106177
20240611,397,95672,107184
20240612,385,93197,102992
20240613,393,97412,106167
20240614,354,92168,98753
20240615,360,89693,96243
20240616,390,98270,105471
20240617,394,94845,106244
20240618,393,94209,105960
20240619,394,98213,106967
20240620,397,96988,108147
20240621,398,98321,107744
20240622,303,78877,84799
20240623,347,93962,96257
20240624,397,102578,107519
20240625,398,99296,107742
20240626,354,90939,97525
20240627,387,101520,105703
20240628,401,103127,108533
20240629,374,99583,101547
20240630,287,79911,82712
20240701,379,98671,103297
20240702,397,101019,108242
20240703,396,101802,107985
20240704,374,89330,100950
20240705,394,95963,106171
20240706,377,96452,102333
20240707,390,101649,106979
20240708,388,99631,106458
20240709,400,100032,109086
20240710,398,100855,108417
20240711,398,100394,108232
20240712,384,97557,105861
20240713,376,97576,101345
20240714,352,93672,97873
20240715,392,100611,106781
20240716,390,96468,105968
20240717,326,86409,91986
20240718,390,101558,106633
20240719,301,80715,83092
20240720,345,88995,91852
20240721,361,91892,95642
20240722,350,93420,98320
20240723,395,100960,106703
20240724,382,100043,106262
20240725,397,102053,108072
20240726,399,99824,108345
20240727,376,96945,101952
20240728,364,92476,98358
20240729,367,91338,99820
20240730,342,85783,95118
20240731,363,91915,98314
20240801,362,92384,98536
20240802,299,80836,85135
20240803,249,68404,72660
20240804,280,76084,80028
20240805,343,86713,93226
20240806,256,67329,71582
20240807,346,87990,92322
20240808,368,93632,99275
20240809,303,80747,86901
20240810,348,89784,94560
20240811,357,91203,96408
20240812,395,96366,107609
20240813,391,92885,105819
20240814,396,98521,107083
20240815,396,100441,106938
20240816,394,98909,106498
20240817,377,97187,100781
20240818,256,69305,71790
20240819,284,78661,81257
20240820,385,96732,103205
20240821,384,95231,103044
20240822,385,94701,102914
20240823,385,92301,103578
20240824,366,92203,97464
20240825,379,97147,102801
20240826,380,88452,102190
20240827,381,85791,102478
20240828,382,88454,103315
20240829,378,93813,102525
20240830,382,95924,103218
20240831,366,88477,97628
20240901,369,83051,99066
20240902,362,88137,98703
20240903,372,84061,98750
20240904,378,79583,100399
20240905,377,83937,100406
20240906,381,85671,101609
20240907,368,80030,96840
20240908,377,89577,99732
20240909,379,83807,100181
20240910,382,80272,101236
20240911,378,81628,99946
20240912,380,91078,101054
20240913,382,88920,101351
20240914,368,88138,96620
20240915,379,91065,100059
20240916,379,86442,100035
20240917,379,81993,100183
20240918,379,87519,100527
20240919,383,90476,101433
20240920,383,91519,101196
20240921,370,82451,96183
20240922,378,89067,98747
20240923,379,86530,100170
20240924,382,83296,101035
20240925,374,87071,98999
20240926,367,83844,94712
20240927,377,87942,99068
20240928,355,83463,92464
20240929,378,89673,100044
20240930,377,85087,99167
20241001,381,79593,100436
20241002,383,85253,100767
20241003,380,86416,99773
20241004,381,87880,100367
20241005,355,80521,93235
20241006,379,91174,99969
20241007,386,84719,100720
20241008,370,78953,95918
20241009,358,76990,90929
20241010,358,82181,92104
20241011,381,92471,99910
20241012,353,81224,92241
20241013,379,90631,99924
20241014,379,90535,99615
20241015,379,89164,99630
20241016,382,89153,100464
20241017,382,92020,100089
20241018,380,92417,100554
20241019,358,83031,93058
20241020,382,91725,100115
20241021,384,90409,100842
20241022,382,84814,100546
20241023,385,86126,101008
20241024,382,90507,100527
20241025,382,88664,100777
20241026,354,79326,92873
20241027,376,93912,102580
20241028,374,84919,103272
20241029,373,78310,103020
20241030,374,81655,103056
20241031,376,86844,103806
20241101,377,87326,104489
20241102,356,82110,96618
20241103,377,93752,103470
20241104,375,83909,103891
20241105,371,82711,102618
20241106,374,86491,103743
20241107,370,93292,103550
20241108,374,95143,103921
20241109,355,81748,96939
20241110,373,89982,103035
20241111,373,88157,103408
20241112,370,78577,102625
20241113,372,81742,103496
20241114,374,84398,104219
20241115,371,87400,104071
20241116,353,75761,96748
20241117,375,90964,104109
20241118,378,84716,104431
20241119,373,73956,103156
20241120,372,81565,103722
20241121,375,90910,104793
20241122,379,93408,105028
20241123,356,87694,97408
20241124,371,93463,103495
20241125,377,86715,104660
20241126,375,91101,104122
20241127,373,92429,103513
20241128,224,52127,63681
20241129,369,95719,103014
20241130,356,93034,97123
20241201,379,101958,104458
20241202,375,94746,103707
20241203,363,86514,100470
20241204,365,82780,100715
20241205,346,84720,97428
20241206,369,88265,101729
20241207,344,85796,96058
20241208,370,95970,102346
20241209,367,85690,101413
20241210,366,80698,100808
20241211,352,82394,98207
20241212,372,92949,102726
20241213,370,91427,102757
20241214,357,89731,97852
20241215,371,93563,102996
20241216,369,87592,102464
20241217,366,85241,101274
20241218,366,87003,100486
20241219,365,92177,103196
20241220,363,96177,103731
20241221,352,93688,100818
20241222,364,99697,103833
20241223,365,93651,103728
20241224,343,84156,97803
20241225,347,90036,100124
20241226,356,97844,102146
20241227,356,97127,101641
20241228,343,96282,98373
20241229,346,96022,97768
20241230,352,95847,101215
20241231,340,87969,97750
20250101,347,92726,100538
20250102,358,95033,102230
20250103,354,94125,102049
20250104,345,94969,99497
20250105,352,93177,102029
20250106,346,86674,101135
20250107,355,81367,99216
20250108,362,84037,100100
20250109,356,84400,99336
20250110,357,85622,100092
20250111,346,85268,96342
20250112,367,89684,101313
20250113,363,80003,100941
20250114,359,73826,99913
20250115,358,81890,99723
20250116,362,89016,101173
20250117,362,92042,100907
20250118,347,84190,96883
20250119,264,65784,78564
20250120,351,88747,97485
20250121,345,79355,96036
20250122,343,74571,95579
20250123,352,83016,98366
20250124,358,81988,100283
20250125,346,76457,96494
20250126,364,84751,101021
20250127,361,77295,100789
20250128,358,69121,99376
20250129,357,76297,99719
20250130,359,83929,100475
20250131,360,82044,100828
20250201,346,77895,96479
20250202,362,82031,100614
20250203,360,76007,100573
20250204,359,70224,99554
20250205,362,76486,99727
20250206,354,78350,99784
20250207,362,80186,101930
20250208,316,78352,90125
20250209,346,81707,98201
20250210,362,85351,101389
20250211,358,77643,99341
20250212,353,83242,98538
20250213,368,93560,105436
20250214,372,93938,106138
20250215,351,91175,99794
20250216,321,91890,95369
20250217,356,96598,102707
20250218,369,89978,104599
20250219,365,87826,103225
20250220,376,90964,105532
20250221,379,95114,106330
20250222,360,87614,100831
20250223,371,92545,105417
20250224,375,86624,105815
20250225,372,79097,104895
20250226,369,85522,104189
20250227,374,93259,105845
20250228,376,95050,106533
20250301,345,85250,97898
20250302,372,93766,105135
20250303,375,85356,105889
20250304,372,77121,104525
20250305,347,83066,100195
20250306,380,94681,107160
20250307,382,95825,108166
20250308,336,86909,96354
20250309,369,94132,104588
20250310,380,89599,107560
20250311,379,79072,106546
20250312,380,88661,107645
20250313,382,97171,108035
20250314,381,99360,108438
20250315,313,85824,92745
20250316,377,100204,107003
20250317,379,93107,106900
20250318,379,85220,106819
20250319,384,91520,107954
20250320,376,97054,106960
20250321,382,101059,107978
20250322,339,90239,96651
20250323,378,98349,107515
20250324,382,89700,107841
20250325,381,81493,107565
20250326,381,90029,108103
20250327,385,95663,108203
20250328,383,98695,108363
20250329,344,85564,98216
20250330,342,91641,100144
20250331,317,80084,93582
20250401,343,78634,100502
20250402,339,80539,100389
20250403,346,88698,102306
20250404,347,88469,102362
20250405,343,85781,99003
20250406,347,91168,101231
20250407,342,83433,101518
20250408,343,81141,101447
20250409,346,89725,101889
20250410,347,92121,102273
20250411,349,91894,102519
20250412,343,90547,98963
20250413,346,95458,101514
20250414,344,88910,101654
20250415,327,86115,96578
20250416,325,88761,96811
20250417,330,89153,97168
20250418,326,87128,97246
20250419,331,83334,96549
20250420,306,83147,93308
20250421,316,87253,94601
20250422,325,84766,96379
20250423,326,86643,96925
20250424,327,90917,97643
20250425,326,89599,97229
20250426,315,82639,93366
20250427,319,86977,95637
20250428,277,72588,84530
20250429,316,76800,94267
20250430,319,83245,95484
